team,season,week,l5_off_epa,l5_def_epa
DEN,2018,3,-0.027701902389526366,-0.020690976455807687
DEN,2018,4,-0.08781706392765046,0.0090092521160841
DEN,2018,5,-0.03401337191462517,0.06836515180766582
DEN,2018,6,-0.020965368300676347,0.09947407692670822
DEN,2018,7,-0.0005174452438950538,0.14379738122224808
DEN,2018,8,-0.022654160298407076,-0.0036722302436828615
DEN,2018,9,0.004601575247943401,0.013055238127708434
DEN,2018,11,-0.006682423315942288,-0.03155170604586601
DEN,2018,12,0.02335724178701639,-0.03892609849572182
DEN,2018,13,0.044047684594988826,-0.06020788550376892
DEN,2018,14,0.05893744491040707,0.0325236976146698
DEN,2018,15,0.02850104458630085,0.006388731300830841
DEN,2018,16,0.014204269647598267,-0.021185249835252763
DEN,2018,17,-0.0063192261382937435,-0.05370092093944549
DEN,2019,1,-0.0742951301857829,-0.1001518227159977
DEN,2019,2,-0.059993409924209117,-0.008588764816522598
DEN,2019,3,-0.03072639014571905,-0.008168271556496621
DEN,2019,4,-0.03509144242852926,0.04670211188495159
DEN,2019,5,-0.02761639952659607,0.0879743356257677
DEN,2019,6,0.019490457884967328,0.04953195936977863
DEN,2019,7,-0.03640143740922212,-0.08545847646892071
DEN,2019,8,-0.12456172946840524,-0.09151156432926655
DEN,2019,9,-0.12929093334823846,-0.14532352276146412
DEN,2019,11,-0.1318900490179658,-0.18479239158332347
DEN,2019,12,-0.14180764630436898,-0.0973959106951952
DEN,2019,13,-0.17837096825242044,-0.010815904662013053
DEN,2019,14,-0.13947612717747687,-0.007195750996470451
DEN,2019,15,-0.06655542328953742,0.002648943290114403
DEN,2019,16,-0.12486335635185242,0.02897200472652912
DEN,2019,17,-0.09293313175439835,-0.0009742740541696549
DEN,2020,1,-0.050728204846382144,-0.012064226716756821
DEN,2020,2,-0.027331824600696563,0.006969746574759484
DEN,2020,3,-0.11095745712518693,-0.012283487245440483
DEN,2020,4,-0.11365730911493302,-0.004118696972727776
DEN,2020,6,-0.1407109744846821,-0.021043876931071282
DEN,2020,7,-0.14172307774424553,-0.07159528136253357
DEN,2020,8,-0.175247410684824,-0.0805393062531948
DEN,2020,9,-0.12281633391976357,-0.04220823422074318
DEN,2020,10,-0.07437958419322968,-0.0663141306489706
DEN,2020,11,-0.13114918693900107,-0.011859312281012535
DEN,2020,12,-0.11385442912578583,0.010056674852967263
DEN,2020,13,-0.20744645297527314,0.007674501463770867
DEN,2020,14,-0.2042692095041275,0.03056330643594265
DEN,2020,15,-0.17674683704972266,0.038082833588123324
DEN,2020,16,-0.13981146588921547,0.11849191337823868
DEN,2020,17,-0.12761953249573707,0.14688859842717647
DEN,2021,1,0.01577657707966864,0.15037293098866938
DEN,2021,2,0.053832715237513186,0.11363194547593594
DEN,2021,3,0.0442159513477236,0.05142472349107265
DEN,2021,4,0.06109615066088736,-0.15049228705465795
DEN,2021,5,0.013160653645172715,-0.12581080794334412
DEN,2021,6,0.04060676544904709,-0.11186256855726243
DEN,2021,7,-0.016000697622075677,-0.04555816799402237
DEN,2021,8,-0.0051881274674087765,0.040208356082439424
DEN,2021,9,0.020164316287264228,0.1390777423977852
DEN,2021,10,0.09077078639529645,0.08652476072311402
DEN,2021,12,0.011826314916834234,0.08506945669651031
DEN,2021,13,0.031165789067745208,0.024138397071510553
DEN,2021,14,-0.017934761941432953,-0.01886285236105323
DEN,2021,15,0.01723676025867462,-0.04180505564436317
DEN,2021,16,-0.04104396104812622,-0.025565121974796056
DEN,2021,17,-0.03959304690361023,-0.0733986764214933
DEN,2021,18,-0.0858453243970871,-0.05350397676229477
DEN,2022,1,-0.05113935396075249,-0.013504897058010102
DEN,2022,2,-0.08527815565466881,0.012304516695439815
DEN,2022,3,-0.06328146755695344,-0.007496240176260471
DEN,2022,4,-0.06895777285099029,-0.04582275245338678
DEN,2022,5,-0.07995371520519257,-0.06583796897903085
DEN,2022,6,-0.1286004014313221,-0.13910942832008005
DEN,2022,7,-0.17604557946324348,-0.1707116506062448
DEN,2022,8,-0.19906235337257386,-0.16240470623597503
DEN,2022,10,-0.13901165574789048,-0.1214318729005754
DEN,2022,11,-0.12546395361423493,-0.13702585846185683
DEN,2022,12,-0.0860892167314887,-0.07521139979362487
DEN,2022,13,-0.10890498366206884,-0.035508456826210025
DEN,2022,14,-0.10313172247260809,-0.03724629580974579
DEN,2022,15,-0.1260026415809989,-0.0038211703300476073
DEN,2022,16,-0.1162127872928977,-0.04781569540500641
DEN,2022,17,-0.1699723333120346,-0.012468005716800689
DEN,2022,18,-0.14935882091522218,-0.008995275199413299
DEN,2023,1,-0.09296053946018219,0.030529603362083435
DEN,2023,2,-0.07679317276924849,0.03875547051429749
DEN,2023,3,-0.035590223781764505,0.13987606167793273
DEN,2023,4,-0.033227447979152204,0.20724417567253112
DEN,2023,5,0.06799230445176363,0.21575967967510223
DEN,2023,6,-0.004503206722438336,0.20592930247075855
DEN,2023,7,-0.06552498042583466,0.16876374860294163
DEN,2023,8,-0.07348707914352418,0.15536202867515386
DEN,2023,10,-0.03410496264696121,-0.03163570086471736
DEN,2023,11,-0.10704857110977173,-0.0638703144621104
DEN,2023,12,-0.08152101486921311,-0.06844272799789905
DEN,2023,13,-0.023337185382843018,-0.10899932868778706
DEN,2023,14,-0.08420403003692627,-0.14647240228950978
DEN,2023,15,-0.09279524832963944,-0.17720859833061695
DEN,2023,16,-0.11346229612827301,-0.09855324365198612
DEN,2023,17,-0.11335419267416,-0.10841055065393448
DEN,2023,18,-0.11674593165516853,-0.08588232547044754
DEN,2024,1,-0.08303775936365128,-0.05082028806209564
DEN,2024,2,-0.12304358929395676,0.028185953199863435
DEN,2024,3,-0.14643449634313582,-0.06195165365934372
DEN,2024,4,-0.11776451468467712,-0.12329467236995698
DEN,2024,5,-0.16341467723250389,-0.14714687168598176
DEN,2024,6,-0.15672018919140102,-0.21130610555410384
DEN,2024,7,-0.10674621555954218,-0.1835550144314766
DEN,2024,8,-0.04504754189401865,-0.2296685293316841
DEN,2024,9,-0.052103972248733046,-0.18355049341917037
DEN,2024,10,-0.028846114687621594,-0.044997398555278775
DEN,2024,11,-0.012164870277047157,-0.004589944938197732
DEN,2024,12,0.07551569305360317,-0.07143955365754664
DEN,2024,13,0.07024433203041554,-0.04179006055928767
DEN,2024,15,0.07354185581207276,-0.024892367282882334
DEN,2024,16,0.0454504132270813,-0.1968764139804989
DEN,2024,17,0.06958244740962982,-0.16456993520259858
DEN,2024,18,0.028478440642356873,-0.08222136199474335
DET,2016,3,0.20200358843430877,0.19738232344388962
DET,2016,4,0.21035874728113413,0.21157753964265189
DET,2016,5,0.12419364112429321,0.1742708282545209
DET,2016,6,0.1004669546149671,0.1686465062201023
DET,2016,7,0.07532452931627631,0.17817285433411598
DET,2016,8,0.10684959078207612,0.173749890178442
DET,2016,9,0.051391174737364057,0.11138752475380898
DET,2016,11,0.06089115375652909,0.10113797467201949
DET,2016,12,0.017762817442417145,0.02716445904225111
DET,2016,13,-0.0513590395450592,-0.04971676860004663
DET,2016,14,-0.04386678338050842,-0.09663441125303507
DET,2016,15,-0.048353664577007294,-0.06875817123800516
DET,2016,16,-0.07148447185754776,-0.06798597760498523
DET,2016,17,-0.022943711280822753,0.061081935092806815
DET,2017,1,0.020539666712284087,0.13107908852398395
DET,2017,2,-0.05344754010438919,0.10186023600399494
DET,2017,3,-0.05429396778345108,0.03659270144999027
DET,2017,4,-0.0405376985669136,0.032009519077837466
DET,2017,5,-0.06868690997362137,-0.12513424064964057
DET,2017,6,-0.13376313894987107,-0.1613079523667693
DET,2017,8,-0.18108995705842973,-0.1349921291694045
DET,2017,9,-0.18163799196481706,-0.07932170201092958
DET,2017,10,-0.10378198176622391,-0.0885403636842966
DET,2017,11,-0.06387441009283065,-0.03521887250244617
DET,2017,12,-0.004624867439270019,-0.036936556175351146
DET,2017,13,0.03934431374073029,0.014121424779295922
DET,2017,14,0.0376284122467041,0.033411722630262375
DET,2017,15,0.008094173669815064,0.03381300792098045
DET,2017,16,-0.01497809924185276,0.04258560761809349
DET,2017,17,-0.04757222793996334,0.0179051723331213
DET,2018,1,0.001607530191540718,-0.06963511593639851
DET,2018,2,-0.06189136020839214,-0.08880258798599243
DET,2018,3,-0.06722641550004482,-0.053029563277959824
DET,2018,4,-0.05069020390510559,-0.09576550796627999
DET,2018,5,0.020172429829835893,-0.049819358810782435
DET,2018,7,0.017844154685735702,0.05526933707296848
DET,2018,8,0.16980049833655358,0.08220097422599792
DET,2018,9,0.14919435530900954,0.10444994568824768
DET,2018,10,0.0927243210375309,0.13618421256542207
DET,2018,11,0.0022291935980319976,0.15366777777671814
DET,2018,12,-0.011581274121999741,0.15073890388011932
DET,2018,13,-0.11504138335585594,0.10328582227230072
DET,2018,14,-0.15580810010433196,0.056406060606241225
DET,2018,15,-0.1520928293466568,0.012218470126390458
DET,2018,16,-0.11217273771762848,-0.054195775836706164
DET,2018,17,-0.19036684930324554,-0.08400220684707164
DET,2019,1,-0.11091613173484802,-0.13943840973079205
DET,2019,2,-0.05863447040319443,-0.1585002887994051
DET,2019,3,-0.016568325739353896,-0.09869817085564137
DET,2019,4,-0.022331707086414097,-0.12192114777863025
DET,2019,6,0.039980582986027004,-0.10474587827920914
DET,2019,7,-0.007452780799940229,-0.04281767755746842
DET,2019,8,0.017804530961439014,0.06010483354330063
DET,2019,9,0.032608179235830904,0.061714135110378265
DET,2019,10,0.05486479760147631,0.13819052428007125
DET,2019,11,0.042925713071599605,0.10175652801990509
DET,2019,12,0.05743583887815475,0.1638340324163437
DET,2019,13,0.007088470458984375,0.024091461300849916
DET,2019,14,-0.012322687357664109,0.050753664970397946
DET,2019,15,-0.08414544388651848,-0.005159828811883926
DET,2019,16,-0.12571112141013147,0.05042390450835228
DET,2019,17,-0.1578499771654606,0.01877101734280586
DET,2020,1,-0.16889447793364526,0.08665664717555047
DET,2020,2,-0.16812881994992496,0.08676906749606132
DET,2020,3,-0.1300133043900132,0.1667429983615875
DET,2020,4,-0.05073051694780588,0.12452727314084769
DET,2020,6,-0.01948707941919565,0.15416995193809271
DET,2020,7,0.033237568102777004,0.11639649327844381
DET,2020,8,0.05810705497860909,0.1099034195765853
DET,2020,9,0.02315218299627304,0.07353597041219473
DET,2020,10,-0.002175353467464447,0.12956218421459198
DET,2020,11,0.022801847755908967,0.1110308289527893
DET,2020,12,-0.0753920093178749,0.12193941622972489
DET,2020,13,-0.13317148089408876,0.15218394249677658
DET,2020,14,-0.04672527313232422,0.13726957887411118
DET,2020,15,0.0016982406377792358,0.14306936115026475
DET,2020,16,-0.00967402458190918,0.20601352006196977
DET,2020,17,-0.05341907143592835,0.2908243417739868
DET,2021,1,0.037765714526176455,0.29718213975429536
DET,2021,2,-0.021916122734546663,0.3269392967224121
DET,2021,3,-0.053078228048980235,0.32126371264457704
DET,2021,4,-0.08802116718143224,0.2383769139647484
DET,2021,5,0.02008982915431261,0.19956566244363785
