team,off_epa_per_play,def_epa_per_play,pts_for_pg,pts_against_pg,scoring_margin,to_margin,third_down_pct,third_down_allowed,rz_td_pct,pass_yards_per_att,rush_yards_per_carry,sacks_allowed_pg,sacks_forced_pg,season
DET,-0.0642,0.0811,19.2847,27.4931,-8.2083,-4.0,0.3476,0.4537,0.1642,6.6054,4.4296,4.2353,3.5294,2021
GB,0.1243,0.0027,26.7014,21.5417,5.1597,13.0,0.4459,0.4273,0.2,7.6712,4.5012,3.8824,4.5882,2021
HOU,-0.139,0.0627,16.2292,26.5139,-10.2847,1.0,0.3992,0.4253,0.1622,6.6851,3.4163,5.1765,3.7647,2021
IND,0.041,0.0045,26.4653,21.3056,5.1597,18.0,0.4113,0.393,0.1846,6.8868,5.2444,3.7647,3.8824,2021
JAX,-0.0906,0.1051,14.7778,27.1111,-12.3333,-18.0,0.3652,0.437,0.16,6.1131,4.5699,3.7647,3.7647,2021
KC,0.1329,0.0206,28.3681,21.6528,6.7153,2.0,0.4875,0.4089,0.204,7.3141,4.7985,3.2941,3.6471,2021
LA,0.0682,-0.0285,27.0347,21.8194,5.2153,2.0,0.4389,0.3992,0.2029,8.061,4.2233,3.6471,5.8824,2021
LAC,0.0779,0.0263,27.7083,27.0556,0.6528,-1.0,0.4417,0.4957,0.208,7.4502,4.5036,3.6471,4.1176,2021
LV,-0.0249,0.0411,21.9861,25.8264,-3.8403,-13.0,0.3891,0.3969,0.1782,7.6928,4.0272,4.7059,4.1176,2021
MIA,-0.0598,-0.0418,19.9167,22.0764,-2.1597,4.0,0.4125,0.4187,0.1948,6.4209,3.6807,4.7059,5.6471,2021
MIN,0.0095,-0.0199,24.9722,24.875,0.0972,9.0,0.3725,0.3517,0.1932,7.429,4.3851,3.5294,6.0,2021
NE,0.0601,-0.0665,26.9236,17.7222,9.2014,9.0,0.4615,0.3677,0.2278,7.6742,4.611,3.2941,4.2353,2021
NO,-0.0852,-0.1141,21.3611,19.8056,1.5556,7.0,0.3724,0.377,0.2115,6.8603,4.0362,4.3529,5.4118,2021
NONE,,,,,,0.0,,,,,,,,2021
NYG,-0.1602,0.0247,15.1111,24.1597,-9.0486,-8.0,0.3774,0.4042,0.1466,5.8795,4.1235,4.4706,4.0,2021
NYJ,-0.0914,0.1153,18.1389,29.6875,-11.5486,-13.0,0.3795,0.4467,0.1728,6.5764,4.4681,6.2353,3.8824,2021
PHI,0.0627,0.0019,26.1528,22.9236,3.2292,0.0,0.4421,0.4184,0.2054,7.2866,5.0574,3.6471,3.4118,2021
PIT,-0.0791,0.0092,20.1389,23.6389,-3.5,4.0,0.3939,0.3413,0.1824,6.0772,4.0202,4.4706,6.4706,2021
SEA,0.0223,0.0188,23.375,21.5764,1.7986,5.0,0.3684,0.4023,0.248,7.7227,5.1383,5.4118,4.0,2021
SF,0.0846,-0.034,25.1319,21.4931,3.6389,-10.0,0.4174,0.4268,0.2803,8.683,4.4918,3.8824,5.6471,2021
TB,0.1171,-0.0833,30.2361,20.5625,9.6736,8.0,0.4678,0.3862,0.2233,7.3841,4.5924,2.7059,5.5294,2021
TEN,0.014,-0.0329,24.7361,21.0764,3.6597,-3.0,0.4363,0.3739,0.2191,7.0131,4.5084,5.5294,5.0588,2021
WAS,-0.059,0.0546,19.7431,25.4583,-5.7153,-5.0,0.3984,0.4741,0.1842,6.8483,4.3941,5.0588,4.4706,2021
ARI,-0.0916,0.0019,20.0278,26.2708,-6.2431,-3.0,0.3538,0.4097,0.1656,6.0091,4.3916,5.4118,4.2353,2022
ATL,-0.0017,0.0644,21.2569,22.7778,-1.5208,-1.0,0.4198,0.4615,0.1765,7.1217,4.9636,4.3529,2.4706,2022
