team,season,opp_def_epa_per_play,opp_def_pass_epa,opp_def_pass_yards
TEN,2023,0.033262447,0.08758385,10.8036175
TEN,2024,0.03776109,0.0386108,10.242038
WAS,2016,0.042384524,0.1298514,11.325582
WAS,2017,-0.04252692,-0.08360874,12.065359
WAS,2018,0.008042487,0.023538234,11.301105
WAS,2019,0.047861047,0.16398549,11.032345
WAS,2020,-0.048531476,-0.117959656,10.281818
WAS,2021,0.04392373,0.13041538,11.3
WAS,2022,-0.041130114,-0.060491186,11.464286
WAS,2023,0.07420189,0.16053438,11.684343
WAS,2024,0.04087971,0.023564918,11.374593
