game_id,season,week,posteam,defteam,rusher_player_name,rusher_player_id,rush_attempts,rush_yards,rush_tds,yards_after_contact,temp,wind,roof,surface,home_team,away_team,home_score,away_score,spread_line,total_line,is_dome,is_home,opp_def_epa_per_play,opp_def_rush_epa,opp_def_rush_yards,avg_rush_yards_l4,avg_rush_tds_l4,avg_rush_attempts_l4
2017_16_MIN_GB,2017,16,GB,MIN,J.Williams,00-0033948,15.0,58.0,0.0,0.0,10.0,6.0,outdoors,grass,GB,MIN,0,16,-8.5,41.0,0,1,-0.1228917,-0.15163289,3.6730769,64.5,0.75,16.75
2017_16_MIN_GB,2017,16,MIN,GB,C.Keenum,00-0028986,4.0,-2.0,0.0,0.0,10.0,6.0,outdoors,grass,GB,MIN,0,16,-8.5,41.0,0,0,0.02214442,-0.11413631,3.8642242,19.75,0.25,4.75
2017_16_MIN_GB,2017,16,MIN,GB,J.McKinnon,00-0031376,7.0,42.0,0.0,0.0,10.0,6.0,outdoors,grass,GB,MIN,0,16,-8.5,41.0,0,0,0.02214442,-0.11413631,3.8642242,29.25,0.0,9.5
2017_16_MIN_GB,2017,16,MIN,GB,L.Murray,00-0030513,21.0,69.0,0.0,0.0,10.0,6.0,outdoors,grass,GB,MIN,0,16,-8.5,41.0,0,0,0.02214442,-0.11413631,3.8642242,62.5,0.5,16.25
2017_16_NYG_ARI,2017,16,ARI,NYG,E.Penny,00-0032813,8.0,24.0,0.0,0.0,59.0,0.0,closed,grass,ARI,NYG,23,0,3.0,39.0,0,1,-0.01631891,-0.059869226,4.1659484,45.0,0.0,10.0
2017_16_NYG_ARI,2017,16,ARI,NYG,K.Williams,00-0030117,16.0,51.0,0.0,0.0,59.0,0.0,closed,grass,ARI,NYG,23,0,3.0,39.0,0,1,-0.01631891,-0.059869226,4.1659484,59.75,0.0,14.0
2017_16_NYG_ARI,2017,16,NYG,ARI,O.Darkwa,00-0030860,6.0,10.0,0.0,0.0,59.0,0.0,closed,grass,ARI,NYG,23,0,3.0,39.0,0,0,-0.0817951,-0.15632693,3.5320196,24.5,0.5,11.0
2017_16_NYG_ARI,2017,16,NYG,ARI,P.Perkins,00-0032417,3.0,10.0,0.0,0.0,59.0,0.0,closed,grass,ARI,NYG,23,0,3.0,39.0,0,0,-0.0817951,-0.15632693,3.5320196,14.25,0.0,7.0
2017_16_NYG_ARI,2017,16,NYG,ARI,W.Gallman,00-0033950,10.0,18.0,0.0,0.0,59.0,0.0,closed,grass,ARI,NYG,23,0,3.0,39.0,0,0,-0.0817951,-0.15632693,3.5320196,36.5,0.0,8.0
2017_16_OAK_PHI,2017,16,LV,PHI,D.Carr,00-0031280,3.0,3.0,0.0,0.0,29.0,15.0,outdoors,grass,PHI,OAK,19,10,10.0,46.0,0,0,-0.10442321,-0.1522873,3.7091987,11.5,0.0,4.0
2017_16_OAK_PHI,2017,16,LV,PHI,J.Richard,00-0033025,4.0,42.0,0.0,0.0,29.0,15.0,outdoors,grass,PHI,OAK,19,10,10.0,46.0,0,0,-0.10442321,-0.1522873,3.7091987,21.25,0.0,5.75
2017_16_OAK_PHI,2017,16,LV,PHI,M.Lynch,00-0025399,25.0,95.0,0.0,0.0,29.0,15.0,outdoors,grass,PHI,OAK,19,10,10.0,46.0,0,0,-0.10442321,-0.1522873,3.7091987,76.25,0.75,16.5
2017_16_OAK_PHI,2017,16,PHI,LV,J.Ajayi,00-0031590,14.0,52.0,0.0,0.0,29.0,15.0,outdoors,grass,PHI,OAK,19,10,10.0,46.0,0,1,0.038586956,-0.05957797,4.025404,47.0,0.25,10.25
2017_16_OAK_PHI,2017,16,PHI,LV,L.Blount,00-0027325,5.0,12.0,0.0,0.0,29.0,15.0,outdoors,grass,PHI,OAK,19,10,10.0,46.0,0,1,0.038586956,-0.05957797,4.025404,39.0,0.0,9.25
2017_16_PIT_HOU,2017,16,HOU,PIT,A.Blue,00-0031075,16.0,108.0,0.0,0.0,59.0,0.0,closed,astroturf,HOU,PIT,6,34,-8.0,45.5,0,1,-0.039485168,-0.020542618,4.397403,20.5,0.0,7.0
2017_16_PIT_HOU,2017,16,HOU,PIT,L.Miller,00-0029615,10.0,55.0,0.0,0.0,59.0,0.0,closed,astroturf,HOU,PIT,6,34,-8.0,45.5,0,1,-0.039485168,-0.020542618,4.397403,48.0,0.25,14.5
2017_16_PIT_HOU,2017,16,PIT,HOU,L.Bell,00-0030496,14.0,69.0,1.0,0.0,59.0,0.0,closed,astroturf,HOU,PIT,6,34,-8.0,45.5,0,0,0.022035113,-0.09013892,3.9704545,84.0,0.75,19.0
2017_16_PIT_HOU,2017,16,PIT,HOU,S.Ridley,00-0028011,9.0,28.0,0.0,0.0,59.0,0.0,closed,astroturf,HOU,PIT,6,34,-8.0,45.5,0,0,0.022035113,-0.09013892,3.9704545,7.0,0.0,3.0
