team,season,week,l5_qb_epa
MIA,2024,3,0.35251672863960265
MIA,2024,4,-3.0612389743328094
MIA,2024,5,-5.135989618301392
MIA,2024,7,-5.8964437484741214
MIA,2024,8,-7.34318790435791
MIA,2024,9,-3.4633462905883787
MIA,2024,10,2.00040283203125
MIA,2024,11,3.8572911262512206
MIA,2024,12,9.275266361236572
MIA,2024,13,12.469663143157959
MIA,2024,14,13.090691089630127
MIA,2024,15,13.588771533966064
MIA,2024,16,12.12408447265625
MIA,2024,17,8.346266746520996
MIA,2024,18,6.803480434417724
MIN,2010,3,-9.567711114883423
MIN,2010,5,-9.565722306569418
MIN,2010,6,-5.494485974311829
MIN,2010,7,-4.862936353683471
MIN,2010,8,-5.451249074935913
MIN,2010,9,-1.997464942932129
MIN,2010,10,2.4642715454101562
MIN,2010,11,-1.1370063781738282
MIN,2010,12,-3.2302815914154053
MIN,2010,13,-1.1885245323181153
MIN,2010,14,-2.779027795791626
MIN,2010,15,-7.436397409439087
MIN,2010,16,-8.186499643325806
MIN,2010,17,-4.9415283203125
MIN,2011,1,-6.395600175857544
MIN,2011,2,-7.733598947525024
MIN,2011,3,-5.253419828414917
MIN,2011,4,-3.4271162509918214
MIN,2011,5,-3.6334177970886232
MIN,2011,6,-2.907222318649292
MIN,2011,7,-1.1253744602203368
MIN,2011,8,-1.7792252779006958
MIN,2011,10,1.9182838201522827
MIN,2011,11,-0.293753457069397
MIN,2011,12,-3.0004631757736204
MIN,2011,13,-2.096314811706543
MIN,2011,14,-3.1180876016616823
MIN,2011,15,-6.804476952552795
MIN,2011,16,-6.501198124885559
MIN,2011,17,-3.3861810088157656
MIN,2012,1,-4.363653910160065
MIN,2012,2,-2.3918119072914124
MIN,2012,3,0.46468223333358766
MIN,2012,4,4.391072976589203
MIN,2012,5,2.468245840072632
MIN,2012,6,4.404402065277099
MIN,2012,7,4.338568639755249
MIN,2012,8,-0.16008152961730956
MIN,2012,9,-3.5603026866912844
MIN,2012,10,-3.9044309139251707
MIN,2012,12,-4.290229558944702
MIN,2012,13,-6.911225128173828
MIN,2012,14,-5.88533878326416
MIN,2012,15,-5.266158270835876
MIN,2012,16,-3.8847967863082884
MIN,2012,17,-4.382598614692688
MIN,2013,1,0.11073939800262451
MIN,2013,2,1.8291579365730286
MIN,2013,3,2.1730812668800352
MIN,2013,4,-0.09062427282333374
MIN,2013,6,2.49120169878006
MIN,2013,7,-2.092823874950409
MIN,2013,8,-5.999129223823547
MIN,2013,9,-6.250842571258545
MIN,2013,10,-3.3989014625549316
MIN,2013,11,-4.7635523796081545
MIN,2013,12,-5.097205448150635
MIN,2013,13,-0.018112754821777342
MIN,2013,14,0.5369135618209839
MIN,2013,15,2.4381773710250854
MIN,2013,16,3.4499430418014527
MIN,2013,17,-0.22843430042266846
MIN,2014,1,-3.028155541419983
MIN,2014,2,-1.8838736534118652
MIN,2014,3,-7.826744747161865
MIN,2014,4,-10.193915700912475
MIN,2014,5,-1.4359513759613036
MIN,2014,6,-3.5638804912567137
MIN,2014,7,-10.224426507949829
MIN,2014,8,-7.605723810195923
MIN,2014,9,-8.27202911376953
MIN,2014,11,-9.109176635742188
MIN,2014,12,-6.138418865203858
MIN,2014,13,-1.6169572353363038
MIN,2014,14,0.24956672191619872
MIN,2014,15,3.1419682264328004
MIN,2014,16,0.24360082149505616
MIN,2014,17,3.039102053642273
MIN,2015,1,3.477506184577942
MIN,2015,2,-0.4954878807067871
MIN,2015,3,-1.669708824157715
MIN,2015,4,-1.4650772094726563
MIN,2015,6,-3.6246751308441163
MIN,2015,7,-3.353765439987183
MIN,2015,8,3.3988008975982664
MIN,2015,9,2.161130553483963
MIN,2015,10,2.4386713325977327
MIN,2015,11,2.169274741411209
MIN,2015,12,1.4540555775165558
MIN,2015,13,-1.4889401137828826
MIN,2015,14,-4.713717031478882
MIN,2015,15,-0.7165050983428956
MIN,2015,16,3.5935921669006348
MIN,2015,17,3.8113346099853516
MIN,2016,1,1.8474539279937745
MIN,2016,2,6.9407158374786375
MIN,2016,3,4.721819734573364
MIN,2016,4,0.7557311058044434
MIN,2016,5,2.6542903423309325
MIN,2016,7,7.122047185897827
MIN,2016,8,1.324521780014038
MIN,2016,9,0.31672916412353513
MIN,2016,10,1.5328382015228272
MIN,2016,11,1.7575422763824462
MIN,2016,12,-1.3261656999588012
MIN,2016,13,1.4394142866134643
MIN,2016,14,0.8910932540893555
MIN,2016,15,2.837822914123535
MIN,2016,16,-1.2911996841430664
MIN,2016,17,0.8547879934310914
MIN,2017,1,4.493413138389587
MIN,2017,2,9.106941413879394
MIN,2017,3,4.185248374938965
MIN,2017,4,10.767215538024903
MIN,2017,5,8.068642711639404
MIN,2017,6,6.440157890319824
MIN,2017,7,1.941612458229065
MIN,2017,8,3.8335160583257677
MIN,2017,10,0.9273368209600449
MIN,2017,11,5.132601198554039
MIN,2017,12,6.65727399289608
MIN,2017,13,10.05436335504055
MIN,2017,14,11.23532133102417
MIN,2017,15,7.879740428924561
MIN,2017,16,5.827039909362793
MIN,2017,17,2.7614290714263916
MIN,2018,1,-0.5500503778457642
MIN,2018,2,-1.682274305820465
MIN,2018,3,3.4168757796287537
MIN,2018,4,-1.8770980477333068
MIN,2018,5,1.6140199542045592
MIN,2018,6,3.8916292786598206
MIN,2018,7,1.4649587631225587
MIN,2018,8,-1.082038164138794
MIN,2018,9,3.592902088165283
MIN,2018,11,1.110019564628601
MIN,2018,12,-1.1164085149765015
MIN,2018,13,3.7206045389175415
MIN,2018,14,0.9538815259933472
MIN,2018,15,-2.0133013486862184
MIN,2018,16,-2.72255961894989
MIN,2018,17,-0.609078049659729
MIN,2019,1,-7.638129258155823
MIN,2019,2,-3.6331436395645142
MIN,2019,3,-3.9309919595718386
MIN,2019,4,-1.9917448043823243
MIN,2019,5,-5.792536926269531
MIN,2019,6,2.8177265167236327
MIN,2019,7,4.437022399902344
MIN,2019,8,12.16536636352539
MIN,2019,9,12.98045082092285
MIN,2019,10,16.895414924621583
MIN,2019,11,15.00539779663086
MIN,2019,13,13.26171064376831
MIN,2019,14,8.447372722625733
MIN,2019,15,7.149195766448974
MIN,2019,16,6.303641700744629
MIN,2019,17,-0.41533203125
MIN,2020,1,-2.7868929862976075
MIN,2020,2,-1.6848044395446777
MIN,2020,3,-5.424850940704346
MIN,2020,4,-5.838843250274659
MIN,2020,5,0.7126862525939941
MIN,2020,6,3.8656899452209474
MIN,2020,8,2.3779177069664
MIN,2020,9,7.388405072689056
MIN,2020,10,7.829933297634125
MIN,2020,11,8.139857614040375
MIN,2020,12,7.335209023952484
MIN,2020,13,8.58270845413208
MIN,2020,14,5.83451817035675
MIN,2020,15,5.20188090801239
MIN,2020,16,3.553370976448059
MIN,2020,17,3.401965928077698
MIN,2021,1,6.044511151313782
MIN,2021,2,8.564546298980712
MIN,2021,3,9.326045560836793
MIN,2021,4,12.5336838722229
MIN,2021,5,9.185038948059082
MIN,2021,6,6.586878395080566
MIN,2021,8,7.378530693054199
MIN,2021,9,3.9974391937255858
MIN,2021,10,1.6873780250549317
MIN,2021,11,4.979552936553955
MIN,2021,12,7.981371784210205
MIN,2021,13,4.929792582988739
MIN,2021,14,7.992221915721894
MIN,2021,15,4.523414409160614
MIN,2021,16,1.8559775233268738
MIN,2021,17,-1.8658517003059387
MIN,2021,18,-3.962797164916992
MIN,2022,1,-3.4157837867736816
MIN,2022,2,0.37414846420288084
MIN,2022,3,-1.089143943786621
MIN,2022,4,-1.783842420578003
MIN,2022,5,0.10752427577972412
MIN,2022,6,0.6674751043319702
MIN,2022,8,-2.292461895942688
MIN,2022,9,-0.12823574542999266
MIN,2022,10,0.32679200172424316
MIN,2022,11,1.5891048669815064
MIN,2022,12,-4.245996832847595
MIN,2022,13,-0.8145533323287963
MIN,2022,14,-0.5538111925125122
MIN,2022,15,3.7837156772613527
MIN,2022,16,3.8317737102508547
MIN,2022,17,7.391439741849899
MIN,2022,18,1.6232865512371064
MIN,2023,1,5.32291733622551
MIN,2023,2,0.8729503989219666
MIN,2023,3,3.349799191951752
MIN,2023,4,3.7250170171260835
MIN,2023,5,4.991611331701279
MIN,2023,6,2.1830698907375337
MIN,2023,7,0.8844006776809692
MIN,2023,8,-0.04038283824920654
MIN,2023,9,3.575555753707886
MIN,2023,10,4.7572533130645756
MIN,2023,11,5.906549263000488
MIN,2023,12,7.352776074409485
MIN,2023,14,0.02318451404571533
MIN,2023,15,-6.636649966239929
MIN,2023,16,-3.2947030782699587
MIN,2023,17,-3.8193639516830444
MIN,2023,18,-4.871000957489014
MIN,2024,1,-0.6360436916351319
MIN,2024,2,4.034747362136841
MIN,2024,3,1.4238301753997802
MIN,2024,4,1.3360883235931396
MIN,2024,5,3.8007975101470945
MIN,2024,7,1.9204648017883301
MIN,2024,8,0.04552174508571625
MIN,2024,9,2.0020554631948473
MIN,2024,10,-0.28552254736423494
MIN,2024,11,-2.395361843705177
MIN,2024,12,1.4975126832723618
MIN,2024,13,3.4965867519378664
MIN,2024,14,2.0196799278259276
MIN,2024,15,7.9777045249938965
MIN,2024,16,9.039466094970702
MIN,2024,17,9.221162033081054
MIN,2024,18,9.624349021911621
NE,2010,3,8.15119218826294
NE,2010,4,9.816421508789062
NE,2010,6,8.040890991687775
NE,2010,7,6.155349159240723
NE,2010,8,2.512675476074219
NE,2010,9,4.192434883117675
NE,2010,10,3.1420907974243164
NE,2010,11,6.776975965499878
NE,2010,12,9.364622688293457
NE,2010,13,14.362392997741699
NE,2010,14,16.41448059082031
NE,2010,15,18.237799644470215
NE,2010,16,14.343348479270935
NE,2010,17,11.760337972640992
NE,2011,1,10.295546102523804
NE,2011,2,11.00440878868103
NE,2011,3,12.36949667930603
NE,2011,4,14.404178977012634
NE,2011,5,17.17346935272217
NE,2011,6,15.674798679351806
NE,2011,8,11.501747179031373
NE,2011,9,6.954434585571289
NE,2011,10,4.561032873392105
NE,2011,11,5.938440710306168
NE,2011,12,5.482025581598282
NE,2011,13,10.508225733041764
NE,2011,14,13.395543628931046
NE,2011,15,16.419555616378783
NE,2011,16,16.099014234542846
NE,2011,17,15.723656725883483
NE,2012,1,12.734582591056824
NE,2012,2,11.580862307548523
NE,2012,3,8.87007966041565
NE,2012,4,9.026240396499634
NE,2012,5,12.832024741172791
NE,2012,6,11.56981589794159
NE,2012,7,10.931437659263612
NE,2012,8,12.200622653961181
NE,2012,10,13.16111879348755
NE,2012,11,10.712849712371826
NE,2012,12,14.331820678710937
NE,2012,13,17.833465671539308
NE,2012,14,17.15329713821411
NE,2012,15,15.96560525894165
NE,2012,16,13.785799503326416
NE,2012,17,9.877470302581788
NE,2013,1,7.319100475311279
NE,2013,2,7.650778484344483
NE,2013,3,2.7158114433288576
NE,2013,4,3.7654282569885256
NE,2013,5,6.469172954559326
NE,2013,6,2.5371987342834474
NE,2013,7,2.2251633644104003
NE,2013,8,1.7157748222351075
NE,2013,9,-0.6217770576477051
NE,2013,11,0.6483008384704589
NE,2013,12,4.393691730499268
NE,2013,13,4.850200843811035
NE,2013,14,9.95896644592285
NE,2013,15,12.35151047706604
NE,2013,16,9.620357179641724
NE,2013,17,7.882378649711609
NE,2014,1,5.644613718986511
NE,2014,2,-0.0336564302444458
NE,2014,3,-0.09732863903045655
